Scotland's Census 2011 - National Records of Scotland,,,,
Table DC1117SC - Age by sex,,,,
All people,,,,
,,,,
,,All people,Males,Females
Dumfries & Galloway,13,"1,715",870,845
Dumfries & Galloway,14,"1,749",891,858
Dumfries & Galloway,15,"1,856",984,872
Dumfries & Galloway,16,"1,933",973,960
Dumfries & Galloway,17,"1,931",976,955
Dumfries & Galloway,18,"1,542",784,758
Dumfries & Galloway,19,"1,485",753,732
Dumfries & Galloway,20,"1,556",816,740
Dumfries & Galloway,21,"1,432",757,675
Dumfries & Galloway,22,"1,534",757,777
Dumfries & Galloway,23,"1,645",813,832
Dumfries & Galloway,24,"1,525",763,762
Dumfries & Galloway,25,"1,453",724,729
Dumfries & Galloway,26,"1,537",801,736
Dumfries & Galloway,27,"1,430",706,724
Dumfries & Galloway,28,"1,435",686,749
Dumfries & Galloway,29,"1,520",700,820
Dumfries & Galloway,30,"1,387",684,703
Dumfries & Galloway,31,"1,423",672,751
Dumfries & Galloway,32,"1,360",622,738
Dumfries & Galloway,33,"1,294",605,689
Dumfries & Galloway,34,"1,281",653,628
Dumfries & Galloway,35,"1,445",693,752
Dumfries & Galloway,36,"1,527",716,811
Dumfries & Galloway,37,"1,589",780,809
Dumfries & Galloway,38,"1,686",798,888
Dumfries & Galloway,39,"1,916",924,992
Dumfries & Galloway,40,"1,933",939,994
Dumfries & Galloway,41,"2,069",987,"1,082"
Dumfries & Galloway,42,"2,131",977,"1,154"
Dumfries & Galloway,43,"2,198","1,021","1,177"
Dumfries & Galloway,44,"2,279","1,093","1,186"
Dumfries & Galloway,45,"2,330","1,205","1,125"
Dumfries & Galloway,46,"2,447","1,149","1,298"
Dumfries & Galloway,47,"2,473","1,214","1,259"
Dumfries & Galloway,48,"2,388","1,140","1,248"
Dumfries & Galloway,49,"2,357","1,137","1,220"
Dumfries & Galloway,50,"2,365","1,161","1,204"
Dumfries & Galloway,51,"2,247","1,104","1,143"
Dumfries & Galloway,52,"2,218","1,071","1,147"
Dumfries & Galloway,53,"2,205","1,086","1,119"
Dumfries & Galloway,54,"2,145","1,054","1,091"
Dumfries & Galloway,55,"2,220","1,041","1,179"
Dumfries & Galloway,56,"2,153","1,077","1,076"
Dumfries & Galloway,57,"2,123","1,049","1,074"
Dumfries & Galloway,58,"2,133","1,027","1,106"
Dumfries & Galloway,59,"2,158","1,060","1,098"
Dumfries & Galloway,60,"2,218","1,107","1,111"
Dumfries & Galloway,61,"2,178","1,063","1,115"
Dumfries & Galloway,62,"2,300","1,173","1,127"
Dumfries & Galloway,63,"2,497","1,234","1,263"
Dumfries & Galloway,64,"2,479","1,217","1,262"
Dumfries & Galloway,65,"1,980",977,"1,003"
Dumfries & Galloway,66,"2,080",989,"1,091"
Dumfries & Galloway,67,"1,993",972,"1,021"
Dumfries & Galloway,68,"1,943",911,"1,032"
Dumfries & Galloway,69,"1,847",872,975
Dumfries & Galloway,70,"1,707",813,894
Dumfries & Galloway,71,"1,753",857,896
Dumfries & Galloway,72,"1,590",766,824
Dumfries & Galloway,73,"1,573",794,779
Dumfries & Galloway,74,"1,531",727,804
Dumfries & Galloway,75,"1,475",683,792
Dumfries & Galloway,76,"1,368",651,717
Dumfries & Galloway,77,"1,351",621,730
Dumfries & Galloway,78,"1,274",591,683
Dumfries & Galloway,79,"1,154",525,629
Dumfries & Galloway,80,"1,109",465,644
Dumfries & Galloway,81,997,432,565
Dumfries & Galloway,82,959,370,589
Dumfries & Galloway,83,766,310,456
Dumfries & Galloway,84,804,333,471
Dumfries & Galloway,85 to 89,"2,582",927,"1,655"
Dumfries & Galloway,90 to 94,961,282,679
Dumfries & Galloway,95 and over,253,55,198
Fife,All people,"365,198","176,943","188,255"
Fife,Under 1,"4,116","2,145","1,971"
Fife,1,"4,311","2,276","2,035"
Fife,2,"4,213","2,124","2,089"
Fife,3,"4,122","2,108","2,014"
Fife,4,"4,013","2,004","2,009"
Fife,5,"3,957","2,024","1,933"
Fife,6,"3,991","2,064","1,927"
Fife,7,"3,788","1,922","1,866"
Fife,8,"3,649","1,868","1,781"
Fife,9,"3,771","1,966","1,805"
Fife,10,"3,814","2,005","1,809"
Fife,11,"3,874","2,021","1,853"
Fife,12,"4,135","2,105","2,030"
Fife,13,"4,102","2,041","2,061"
Fife,14,"4,261","2,177","2,084"
Fife,15,"4,280","2,176","2,104"
Fife,16,"4,416","2,173","2,243"
Fife,17,"4,436","2,230","2,206"
Fife,18,"4,520","2,303","2,217"
Fife,19,"5,012","2,495","2,517"
Fife,20,"5,240","2,525","2,715"
Fife,21,"5,078","2,434","2,644"
Fife,22,"4,952","2,335","2,617"
Fife,23,"4,634","2,237","2,397"
Fife,24,"4,237","2,074","2,163"
Fife,25,"4,319","2,156","2,163"
Fife,26,"4,049","1,978","2,071"
Fife,27,"4,067","2,040","2,027"
Fife,28,"4,153","2,021","2,132"
Fife,29,"4,214","2,075","2,139"
Fife,30,"4,402","2,135","2,267"
Fife,31,"4,289","2,068","2,221"
Fife,32,"4,124","1,976","2,148"
Fife,33,"3,938","1,885","2,053"
Fife,34,"4,034","2,014","2,020"
Fife,35,"4,226","2,084","2,142"
Fife,36,"4,365","2,093","2,272"
Fife,37,"4,432","2,228","2,204"
Fife,38,"4,803","2,353","2,450"
Fife,39,"5,209","2,458","2,751"
Fife,40,"5,336","2,579","2,757"
Fife,41,"5,245","2,579","2,666"
Fife,42,"5,627","2,765","2,862"
Fife,43,"5,536","2,715","2,821"
Fife,44,"5,701","2,839","2,862"
Fife,45,"5,619","2,705","2,914"
Fife,46,"5,663","2,740","2,923"
Fife,47,"5,633","2,723","2,910"
Fife,48,"5,528","2,682","2,846"
Fife,49,"5,564","2,704","2,860"
Fife,50,"5,406","2,736","2,670"
Fife,51,"5,312","2,647","2,665"
Fife,52,"5,272","2,557","2,715"
Fife,53,"5,221","2,590","2,631"
Fife,54,"4,941","2,436","2,505"
Fife,55,"4,721","2,314","2,407"
Fife,56,"4,669","2,296","2,373"
Fife,57,"4,574","2,217","2,357"
Fife,58,"4,539","2,229","2,310"
Fife,59,"4,478","2,147","2,331"
Fife,60,"4,626","2,246","2,380"
Fife,61,"4,693","2,281","2,412"
Fife,62,"4,971","2,481","2,490"
Fife,63,"5,258","2,483","2,775"
Fife,64,"5,448","2,690","2,758"
Fife,65,"3,971","1,962","2,009"
Fife,66,"4,226","2,037","2,189"
Fife,67,"4,071","1,920","2,151"
